"Site","Plot","Year","N","Fire","MAP","Class"
"BAN","BAN1",2009,40,"C",753.86206,"D"
"BAN","BAN1",2010,108,"C",753.86206,"D"
"BAN","BAN1",2011,308,"C",753.86206,"D"
"BAN","BAN1",2012,246,"C",753.86206,"D"
"BAN","BAN2",2009,67,"B",755.926269,"D"
"BAN","BAN2",2010,59,"B",755.926269,"S"
"BAN","BAN2",2011,91,"B",755.926269,"D"
"BAN","BAN2",2012,91,"B",755.926269,"D"
"BAN","BAN3",2009,55,"C",744.885131,"D"
"BAN","BAN3",2010,108,"C",744.885131,"D"
"BAN","BAN3",2011,76,"C",744.885131,"D"
"BAN","BAN3",2012,88,"C",744.885131,"D"
"BAN","BAN4",2009,28,"B",745.478515,"D"
"BAN","BAN4",2010,80,"B",745.478515,"D"
"BAN","BAN4",2011,99,"B",745.478515,"D"
"BAN","BAN4",2012,146,"B",745.478515,"D"
"BIR","BIR1",2009,46,"C",754.504333,"D"
"BIR","BIR1",2010,73,"C",754.504333,"D"
"BIR","BIR1",2011,68,"C",754.504333,"D"
"BIR","BIR1",2012,111,"C",754.504333,"D"
"BIR","BIR2",2009,26,"C",759.015075,"S"
"BIR","BIR2",2010,28,"C",759.015075,"S"
"BIR","BIR2",2011,23,"C",759.015075,"D"
"BIR","BIR2",2012,28,"C",759.015075,"D"
"BIR","BIR3",2009,37,"B",759.292297,"D"
"BIR","BIR3",2010,84,"B",759.292297,"D"
"BIR","BIR3",2011,54,"B",759.292297,"D"
"BIR","BIR3",2012,114,"B",759.292297,"D"
"BIR","BIR4",2009,44,"B",752.876037,"D"
"BIR","BIR4",2010,77,"B",752.876037,"D"
"BIR","BIR4",2011,49,"B",752.876037,"D"
"BIR","BIR4",2012,89,"B",752.876037,"D"
"KIR","KIR1",2009,38,"B",883.477416,"D"
"KIR","KIR1",2010,125,"B",883.477416,"S"
"KIR","KIR1",2011,218,"B",883.477416,"S"
"KIR","KIR1",2012,195,"B",883.477416,"S"
"KIR","KIR2",2009,24,"C",895.513854,"D"
"KIR","KIR2",2010,43,"C",895.513854,"D"
"KIR","KIR2",2011,60,"C",895.513854,"D"
"KIR","KIR2",2012,104,"C",895.513854,"D"
"KIR","KIR3",2009,16,"B",904.338073,"D"
"KIR","KIR3",2010,18,"B",904.338073,"D"
"KIR","KIR3",2011,16,"B",904.338073,"D"
"KIR","KIR3",2012,18,"B",904.338073,"D"
"KIR","KIR4",2009,64,"C",909.843872,"D"
"KIR","KIR4",2010,160,"C",909.843872,"D"
"KIR","KIR4",2011,205,"C",909.843872,"D"
"KIR","KIR4",2012,275,"C",909.843872,"D"
"KIT","KIT1",2009,80,"B",897.573669,"D"
"KIT","KIT1",2010,165,"B",897.573669,"D"
"KIT","KIT1",2011,110,"B",897.573669,"D"
"KIT","KIT1",2012,226,"B",897.573669,"D"
"KIT","KIT2",2009,37,"C",892.215454,"D"
"KIT","KIT2",2010,59,"C",892.215454,"D"
"KIT","KIT2",2011,78,"C",892.215454,"D"
"KIT","KIT2",2012,68,"C",892.215454,"D"
"KIT","KIT3",2009,41,"B",908.540893,"D"
"KIT","KIT3",2010,53,"B",908.540893,"D"
"KIT","KIT3",2011,100,"B",908.540893,"S"
"KIT","KIT3",2012,134,"B",908.540893,"S"
"KIT","KIT4",2009,77,"C",885.716247,"D"
"KIT","KIT4",2010,257,"C",885.716247,"D"
"KIT","KIT4",2011,141,"C",885.716247,"D"
"KIT","KIT4",2012,491,"C",885.716247,"D"
"KMS","KMS1",2009,46,"B",806.509765,"D"
"KMS","KMS1",2010,56,"B",806.509765,"D"
"KMS","KMS1",2011,261,"B",806.509765,"D"
"KMS","KMS1",2012,89,"B",806.509765,"D"
"KMS","KMS2",2009,54,"C",814.064758,"S"
"KMS","KMS2",2010,154,"C",814.064758,"D"
"KMS","KMS2",2011,304,"C",814.064758,"D"
"KMS","KMS2",2012,338,"C",814.064758,"D"
"MUS","MUS1",2009,47,"C",844.758666,"D"
"MUS","MUS1",2010,94,"C",844.758666,"D"
"MUS","MUS1",2011,157,"C",844.758666,"D"
"MUS","MUS1",2012,214,"C",844.758666,"D"
"MUS","MUS2",2009,71,"B",876.267761,"D"
"MUS","MUS2",2010,189,"B",876.267761,"D"
"MUS","MUS2",2011,397,"B",876.267761,"D"
"MUS","MUS2",2012,462,"B",876.267761,"D"
"SIM","SIM1",2009,20,"C",749.205383,"D"
"SIM","SIM1",2010,24,"C",749.205383,"D"
"SIM","SIM1",2011,25,"C",749.205383,"D"
"SIM","SIM1",2012,23,"C",749.205383,"S"
"SIM","SIM2",2009,56,"B",752.539001,"S"
"SIM","SIM2",2010,135,"B",752.539001,"S"
"SIM","SIM2",2011,184,"B",752.539001,"D"
"SIM","SIM2",2012,154,"B",752.539001,"S"
"SIM","SIM3",2009,41,"C",752.539001,"D"
"SIM","SIM3",2010,42,"C",752.539001,"S"
"SIM","SIM3",2011,108,"C",752.539001,"S"
"SIM","SIM3",2012,104,"C",752.539001,"S"
"SIM","SIM4",2009,40,"B",752.101623,"D"
"SIM","SIM4",2010,60,"B",752.101623,"S"
"SIM","SIM4",2011,77,"B",752.101623,"S"
"SIM","SIM4",2012,72,"B",752.101623,"S"
"SOT","SOT1",2011,65,"C",648.273559,"D"
"SOT","SOT1",2012,60,"C",648.273559,"D"
"SOT","SOT2",2011,28,"B",666.027465,"D"
"SOT","SOT2",2012,29,"B",666.027465,"D"
"SOT","SOT3",2011,22,"B",640.921508,"S"
"SOT","SOT3",2012,39,"B",640.921508,"S"
"SOT","SOT4",2011,34,"C",634.146301,"D"
"SOT","SOT4",2012,13,"C",634.146301,"S"
"TAW","TAW1",2009,19,"B",786.550048,"S"
"TAW","TAW1",2010,14,"B",786.550048,"S"
"TAW","TAW1",2011,23,"B",786.550048,"D"
"TAW","TAW1",2012,20,"B",786.550048,"D"
"TAW","TAW2",2009,42,"C",789.139709,"D"
"TAW","TAW2",2010,40,"C",789.139709,"S"
"TAW","TAW2",2011,55,"C",789.139709,"D"
"TAW","TAW2",2012,58,"C",789.139709,"D"
"TAW","TAW3",2009,35,"C",789.725097,"D"
"TAW","TAW3",2010,29,"C",789.725097,"S"
"TAW","TAW3",2011,46,"C",789.725097,"D"
"TAW","TAW3",2012,48,"C",789.725097,"D"
"TAW","TAW4",2009,23,"B",789.139709,"D"
"TAW","TAW4",2010,19,"B",789.139709,"D"
"TAW","TAW4",2011,61,"B",789.139709,"D"
"TAW","TAW4",2012,71,"B",789.139709,"D"
"TOG","TOG1",2009,50,"C",770.376464,"D"
"TOG","TOG1",2010,108,"C",770.376464,"D"
"TOG","TOG1",2011,88,"C",770.376464,"D"
"TOG","TOG1",2012,157,"C",770.376464,"D"
"TOG","TOG2",2009,28,"C",773.145507,"D"
"TOG","TOG2",2010,52,"C",773.145507,"D"
"TOG","TOG2",2011,48,"C",773.145507,"D"
"TOG","TOG2",2012,57,"C",773.145507,"D"
"TOG","TOG3",2009,33,"B",773.145507,"S"
"TOG","TOG3",2010,68,"B",773.145507,"D"
"TOG","TOG3",2011,58,"B",773.145507,"D"
"TOG","TOG3",2012,172,"B",773.145507,"D"
"TOG","TOG4",2009,72,"B",769.166503,"D"
"TOG","TOG4",2010,88,"B",769.166503,"S"
"TOG","TOG4",2011,84,"B",769.166503,"D"
"TOG","TOG4",2012,111,"B",769.166503,"D"
