Aedes Survival,,,,,,Stephensi Survival,,,,,,
,Term,Estimate,s.e.,p-value,,,Term,Estimate,s.e.,p-value,,
,(Intercept),2.7801691,0.15444343,<0.001,,,(Intercept),1.9388455,0.6036103,0.00131777,,
,AeDensScale,-1.99257404,0.08363467,<0.001,,,StDensScale,-5.1619679,0.8187998,<0.001,,
,Temperature,0.09638817,0.70679854,0.892,,,AeDensScale,-6.2870002,0.821829,<0.001,,
,Temperature^2,-3.83762892,0.51334119,7.67437E-14,,,"poly(TempScale, 2)1",24.258276,5.6516058,<0.001,,
,StDensScale,-0.60399277,0.29535243,0.04085584,,,"poly(TempScale, 2)2",6.4526497,4.3721096,0.1399798,,
,StDensScale:TempNum,0.03404162,0.0124021,0.00605429,,,"StDensScale:poly(TempScale, 2)1",-36.0033045,9.1600389,<0.001,,
Aedes Fecundity,,,,,,,"StDensScale:poly(TempScale, 2)2",-19.7238818,6.7381714,0.003420441,,
,(Intercept),4.274,0.072,<0.001,,,"AeDensScale:poly(TempScale, 2)1",-35.2084081,9.5941389,0.000242756,,
,Aedes Density,-0.008,0.001,<0.001,,,"AeDensScale:poly(TempScale, 2)2",-16.7902163,7.7383069,0.03002555,,
,Temperature,-3.041,0.654,<0.001,,Stephensi Fecundity,,,,,,
,Temperature^2,-1.812,0.657,0.0058,,,Zero hurdle intercept,-1.084,0.241,<0.001,,
Aedes Growth,,,,,,,NegBin Intercept,4.205,0.096,<0.001,,
,(Intercept),1.188817675,0.003108282,<0.001,,,Log(theta),1.621,0.317,<0.001,,
,AeDensScale,-0.057255404,0.00263072,<0.001,,Stephensi Growth,,,,,,
,"poly(TempScale, 2)1",0.300784779,0.016861466,<0.001,,Zero hurdle,Intercept,3.216,0.807,<0.001,,
,"poly(TempScale, 2)2",-0.158920057,0.016867225,<0.001,,,AeDensScale,-5.471,1.29,<0.001,,
,,,,,,,StDensScale,-2.896,0.773,<0.001,,
,,,,,,LMM,Intercept,1.019,0.03,<0.001,,
,,,,,,,Temperature,0.075,0.027,0.009,,